epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.843,1.96628,3.78526,2.03625,0.82821,0.82271,0.8619,0.35254,1.91314,2.20573,1.9824,0.0820496,0.00199449,0.00199449
2,262.361,1.64174,2.70149,1.71771,0.78541,0.82761,0.87547,0.41285,1.76919,2.00751,1.89558,0.0640492,0.00399406,0.00399406
3,388.789,1.59436,2.5759,1.68215,0.86197,0.82215,0.89393,0.44891,1.67708,1.82252,1.79289,0.046047,0.00599189,0.00599189
4,515.13,1.58109,2.54223,1.67791,0.8573,0.84296,0.89012,0.44198,1.68869,1.78401,1.80339,0.0280418,0.00798668,0.00798668
5,642.217,1.5909,2.62405,1.68843,0.84247,0.81056,0.86356,0.40964,1.76795,2.01966,1.90706,0.0100322,0.00997714,0.00997714
6,774.737,1.62016,2.69415,1.70854,0.86092,0.8077,0.86821,0.40496,1.78153,2.01131,1.92104,0.00997288,0.00997288,0.00997288
7,897.405,1.60309,2.71171,1.72077,0.83933,0.83927,0.87062,0.42533,1.72308,1.97819,1.86987,0.00996097,0.00996097,0.00996097
8,1034.03,1.58949,2.65193,1.70796,0.85001,0.82742,0.8812,0.42033,1.76598,1.97362,1.90935,0.0099469,0.0099469,0.0099469
9,1167.63,1.5678,2.59579,1.70355,0.88496,0.83689,0.90932,0.46998,1.63902,1.81785,1.83347,0.00993068,0.00993068,0.00993068
10,1305.87,1.57031,2.56717,1.68757,0.87208,0.87101,0.91353,0.4714,1.66746,1.74507,1.83391,0.00991232,0.00991232,0.00991232
11,1439.85,1.55414,2.51459,1.69319,0.88998,0.86159,0.92342,0.49368,1.6267,1.73952,1.80447,0.00989183,0.00989183,0.00989183
12,1575.41,1.54289,2.46133,1.67095,0.86548,0.83969,0.89504,0.41499,1.86118,1.87468,1.98384,0.00986922,0.00986922,0.00986922
13,1695.18,1.52925,2.41315,1.67143,0.89453,0.87199,0.92126,0.43996,1.8065,1.79847,1.94662,0.00984449,0.00984449,0.00984449
14,1808.58,1.52732,2.43431,1.66142,0.87526,0.86113,0.91609,0.4692,1.66729,1.73268,1.81389,0.00981765,0.00981765,0.00981765
15,1922.81,1.51254,2.37033,1.66077,0.88404,0.88673,0.92489,0.49336,1.60603,1.62628,1.77844,0.00978873,0.00978873,0.00978873
16,2038.81,1.51333,2.36833,1.65065,0.88697,0.85448,0.90333,0.4772,1.63522,1.68572,1.80671,0.00975773,0.00975773,0.00975773
17,2155.5,1.48989,2.31578,1.64583,0.91953,0.89793,0.93154,0.52518,1.48438,1.51421,1.70561,0.00972466,0.00972466,0.00972466
18,2271.69,1.49325,2.2815,1.64448,0.86706,0.88521,0.92352,0.51779,1.53738,1.58222,1.73733,0.00968955,0.00968955,0.00968955
19,2388.19,1.49663,2.31015,1.64778,0.905,0.87802,0.93782,0.48336,1.65354,1.60101,1.83878,0.00965239,0.00965239,0.00965239
20,2503.61,1.49026,2.25774,1.62899,0.89965,0.87213,0.92904,0.50746,1.58274,1.60993,1.75889,0.00961322,0.00961322,0.00961322
21,2619.16,1.46776,2.20836,1.60536,0.88456,0.88375,0.92746,0.50294,1.56216,1.53335,1.75017,0.00957205,0.00957205,0.00957205
22,2734.57,1.46321,2.20142,1.62529,0.87998,0.89839,0.92919,0.50628,1.55873,1.54824,1.77815,0.00952889,0.00952889,0.00952889
23,2850,1.4606,2.18243,1.61317,0.90223,0.89631,0.92715,0.53031,1.51628,1.50522,1.72699,0.00948377,0.00948377,0.00948377
24,2965.71,1.45752,2.16733,1.61092,0.90018,0.87201,0.93579,0.52854,1.51574,1.53158,1.72332,0.00943671,0.00943671,0.00943671
25,3081.15,1.45082,2.13905,1.60575,0.89896,0.88154,0.9275,0.50727,1.52967,1.55616,1.74585,0.00938772,0.00938772,0.00938772
26,3196.17,1.4396,2.13178,1.60828,0.88172,0.89438,0.9321,0.53094,1.47689,1.49348,1.72085,0.00933683,0.00933683,0.00933683
27,3311.89,1.44559,2.11799,1.59851,0.90705,0.90756,0.93232,0.52253,1.51228,1.47653,1.73095,0.00928405,0.00928405,0.00928405
28,3427.09,1.44095,2.10429,1.60029,0.9033,0.9037,0.93954,0.51271,1.57164,1.49837,1.78293,0.00922942,0.00922942,0.00922942
